name,nation_id
AIK Handboll,4d5e2a20-3595-4912-89ef-400020c55213
Ala IF,4d5e2a20-3595-4912-89ef-400020c55213
Alfta GIF,4d5e2a20-3595-4912-89ef-400020c55213
Alingsås HK,4d5e2a20-3595-4912-89ef-400020c55213
Alstermo IF,4d5e2a20-3595-4912-89ef-400020c55213
Amo Handboll,4d5e2a20-3595-4912-89ef-400020c55213
Anderstorps SK,4d5e2a20-3595-4912-89ef-400020c55213
HK Aranäs,4d5e2a20-3595-4912-89ef-400020c55213
Avesta Brovallen HF,4d5e2a20-3595-4912-89ef-400020c55213
IK Baltichov,4d5e2a20-3595-4912-89ef-400020c55213
IFK Bankeryd,4d5e2a20-3595-4912-89ef-400020c55213
Boden Handboll IF,4d5e2a20-3595-4912-89ef-400020c55213
Bollebygds SK,4d5e2a20-3595-4912-89ef-400020c55213
Bollstanäs SK,4d5e2a20-3595-4912-89ef-400020c55213
Borlänge HK,4d5e2a20-3595-4912-89ef-400020c55213
Borås HK 84,4d5e2a20-3595-4912-89ef-400020c55213
IFK Borås,4d5e2a20-3595-4912-89ef-400020c55213
BSK/BAIK,4d5e2a20-3595-4912-89ef-400020c55213
HK Ceres Norrtälje,4d5e2a20-3595-4912-89ef-400020c55213
HK Country,4d5e2a20-3595-4912-89ef-400020c55213
IK Cyrus,4d5e2a20-3595-4912-89ef-400020c55213
Dalhems IF,4d5e2a20-3595-4912-89ef-400020c55213
Djurgårdens IF HF,4d5e2a20-3595-4912-89ef-400020c55213
Djurgårdshofs IK,4d5e2a20-3595-4912-89ef-400020c55213
HK Drott Halmstad,4d5e2a20-3595-4912-89ef-400020c55213
Enköpings HF,4d5e2a20-3595-4912-89ef-400020c55213
HK Eskil,4d5e2a20-3595-4912-89ef-400020c55213
Eslövs HF,4d5e2a20-3595-4912-89ef-400020c55213
Eslövs IK,4d5e2a20-3595-4912-89ef-400020c55213
Films SK,4d5e2a20-3595-4912-89ef-400020c55213
Fjärdhundra SK,4d5e2a20-3595-4912-89ef-400020c55213
Forsbacka IK,4d5e2a20-3595-4912-89ef-400020c55213
Forshaga HK,4d5e2a20-3595-4912-89ef-400020c55213
GT Söder,4d5e2a20-3595-4912-89ef-400020c55213
GT/76 IK,4d5e2a20-3595-4912-89ef-400020c55213
Eskilstuna Guif,4d5e2a20-3595-4912-89ef-400020c55213
Gustavsbergs IF,4d5e2a20-3595-4912-89ef-400020c55213
GW Landskrona HK,4d5e2a20-3595-4912-89ef-400020c55213
Gökstens BK,4d5e2a20-3595-4912-89ef-400020c55213
H43 Lund,4d5e2a20-3595-4912-89ef-400020c55213
IF Hallby HK,4d5e2a20-3595-4912-89ef-400020c55213
Halmstad HP,4d5e2a20-3595-4912-89ef-400020c55213
Hammarby IF Handboll Dam,4d5e2a20-3595-4912-89ef-400020c55213
Hammarby IF HF,4d5e2a20-3595-4912-89ef-400020c55213
Haninge HK,4d5e2a20-3595-4912-89ef-400020c55213
BK Heid,4d5e2a20-3595-4912-89ef-400020c55213
OV Helsingborg,4d5e2a20-3595-4912-89ef-400020c55213
HF Karlskrona,4d5e2a20-3595-4912-89ef-400020c55213
HK Ankaret,4d5e2a20-3595-4912-89ef-400020c55213
HK Björnen,4d5e2a20-3595-4912-89ef-400020c55213
HK Guldkroken,4d5e2a20-3595-4912-89ef-400020c55213
HK Lidköping,4d5e2a20-3595-4912-89ef-400020c55213
HK71,4d5e2a20-3595-4912-89ef-400020c55213
Hornskrokens IF,4d5e2a20-3595-4912-89ef-400020c55213
Huddinge HK,4d5e2a20-3595-4912-89ef-400020c55213
IF Hellton,4d5e2a20-3595-4912-89ef-400020c55213
IK Lågan,4d5e2a20-3595-4912-89ef-400020c55213
Jakobsbergs GoIF,4d5e2a20-3595-4912-89ef-400020c55213
Kalmar AIK,4d5e2a20-3595-4912-89ef-400020c55213
IFK Karlskrona,4d5e2a20-3595-4912-89ef-400020c55213
Karlskronaflickorna/Rödeby AIF,4d5e2a20-3595-4912-89ef-400020c55213
KB 65,4d5e2a20-3595-4912-89ef-400020c55213
BK Kenty,4d5e2a20-3595-4912-89ef-400020c55213
KFUM Lundagård,4d5e2a20-3595-4912-89ef-400020c55213
IFK Knislinge,4d5e2a20-3595-4912-89ef-400020c55213
Kristianstad HK,4d5e2a20-3595-4912-89ef-400020c55213
Kungälvs HK,4d5e2a20-3595-4912-89ef-400020c55213
Kvinnliga IK Sport,4d5e2a20-3595-4912-89ef-400020c55213
Kävlinge HK,4d5e2a20-3595-4912-89ef-400020c55213
Köpings IS,4d5e2a20-3595-4912-89ef-400020c55213
Lagunda AIK,4d5e2a20-3595-4912-89ef-400020c55213
LIF Lindesberg,4d5e2a20-3595-4912-89ef-400020c55213
HF Linköpings Lejon,4d5e2a20-3595-4912-89ef-400020c55213
Ludvika HF,4d5e2a20-3595-4912-89ef-400020c55213
Lysekils HK,4d5e2a20-3595-4912-89ef-400020c55213
Malmbergets AIF,4d5e2a20-3595-4912-89ef-400020c55213
Malmö BI,4d5e2a20-3595-4912-89ef-400020c55213
IFK Malmö Handboll,4d5e2a20-3595-4912-89ef-400020c55213
Malungs IF,4d5e2a20-3595-4912-89ef-400020c55213
Mantorps IF,4d5e2a20-3595-4912-89ef-400020c55213
IFK Mariefred,4d5e2a20-3595-4912-89ef-400020c55213
UoIF Matteuspojkarna,4d5e2a20-3595-4912-89ef-400020c55213
IFK Mockfjärd,4d5e2a20-3595-4912-89ef-400020c55213
Norrfjärdens IF,4d5e2a20-3595-4912-89ef-400020c55213
Norrköpings AIS,4d5e2a20-3595-4912-89ef-400020c55213
Norrköpings Kvinnliga IK,4d5e2a20-3595-4912-89ef-400020c55213
Norrstrands IF,4d5e2a20-3595-4912-89ef-400020c55213
IFK Nyköping,4d5e2a20-3595-4912-89ef-400020c55213
Nynäshamns IF,4d5e2a20-3595-4912-89ef-400020c55213
Näsby IF,4d5e2a20-3595-4912-89ef-400020c55213
Nödinge SK Handboll,4d5e2a20-3595-4912-89ef-400020c55213
HF Olympia,4d5e2a20-3595-4912-89ef-400020c55213
IS Orion,4d5e2a20-3595-4912-89ef-400020c55213
Partille IF,4d5e2a20-3595-4912-89ef-400020c55213
Rimbo HK,4d5e2a20-3595-4912-89ef-400020c55213
Rosersbergs IK,4d5e2a20-3595-4912-89ef-400020c55213
RP IF,4d5e2a20-3595-4912-89ef-400020c55213
Sala HF,4d5e2a20-3595-4912-89ef-400020c55213
Sandvikens HK,4d5e2a20-3595-4912-89ef-400020c55213
Sandviks IK,4d5e2a20-3595-4912-89ef-400020c55213
Sannadals SK,4d5e2a20-3595-4912-89ef-400020c55213
Sikeå SK,4d5e2a20-3595-4912-89ef-400020c55213
IF Skade,4d5e2a20-3595-4912-89ef-400020c55213
Skara HF,4d5e2a20-3595-4912-89ef-400020c55213
Skurups Handboll,4d5e2a20-3595-4912-89ef-400020c55213
Skå IK,4d5e2a20-3595-4912-89ef-400020c55213
Skånela IF,4d5e2a20-3595-4912-89ef-400020c55213
Skåre HK,4d5e2a20-3595-4912-89ef-400020c55213
Skövde HF,4d5e2a20-3595-4912-89ef-400020c55213
Sollentuna HK,4d5e2a20-3595-4912-89ef-400020c55213
Sorunda IF,4d5e2a20-3595-4912-89ef-400020c55213
Spånga IS,4d5e2a20-3595-4912-89ef-400020c55213
IF Start,4d5e2a20-3595-4912-89ef-400020c55213
Stavstens IF,4d5e2a20-3595-4912-89ef-400020c55213
Stenungsunds HK,4d5e2a20-3595-4912-89ef-400020c55213
Strands IF,4d5e2a20-3595-4912-89ef-400020c55213
IFK Strängnäs,4d5e2a20-3595-4912-89ef-400020c55213
IK Sture,4d5e2a20-3595-4912-89ef-400020c55213
Sundsvalls handbollsklubb,4d5e2a20-3595-4912-89ef-400020c55213
IF Swithiod,4d5e2a20-3595-4912-89ef-400020c55213
Särökometernas HK,4d5e2a20-3595-4912-89ef-400020c55213
Sävsjö HK,4d5e2a20-3595-4912-89ef-400020c55213
IK Tellus,4d5e2a20-3595-4912-89ef-400020c55213
Tillberga IK,4d5e2a20-3595-4912-89ef-400020c55213
SK Tirfing,4d5e2a20-3595-4912-89ef-400020c55213
Tomelilla IF,4d5e2a20-3595-4912-89ef-400020c55213
Torsby IF,4d5e2a20-3595-4912-89ef-400020c55213
IFK Trelleborg Handboll,4d5e2a20-3595-4912-89ef-400020c55213
Trelleborg HBK,4d5e2a20-3595-4912-89ef-400020c55213
IFK Tumba Handboll,4d5e2a20-3595-4912-89ef-400020c55213
Tyresö Handboll,4d5e2a20-3595-4912-89ef-400020c55213
Täby Handbollsklubb,4d5e2a20-3595-4912-89ef-400020c55213
Umedalens IF,4d5e2a20-3595-4912-89ef-400020c55213
Umeå HF,4d5e2a20-3595-4912-89ef-400020c55213
Uppsala Handbollsklubb,4d5e2a20-3595-4912-89ef-400020c55213
Upsala Studenters IF,4d5e2a20-3595-4912-89ef-400020c55213
Valsta Syrianska IK,4d5e2a20-3595-4912-89ef-400020c55213
HK Varberg,4d5e2a20-3595-4912-89ef-400020c55213
Vikingarnas IF,4d5e2a20-3595-4912-89ef-400020c55213
Vinslövs HK,4d5e2a20-3595-4912-89ef-400020c55213
Visby IF Gute HK,4d5e2a20-3595-4912-89ef-400020c55213
Västerås HF,4d5e2a20-3595-4912-89ef-400020c55213
VästeråsIrsta HF,4d5e2a20-3595-4912-89ef-400020c55213
Växjö HF,4d5e2a20-3595-4912-89ef-400020c55213
IFK Ystad HK,4d5e2a20-3595-4912-89ef-400020c55213
Åkersberga HK,4d5e2a20-3595-4912-89ef-400020c55213
IFK Åmål,4d5e2a20-3595-4912-89ef-400020c55213
Årsta handboll,4d5e2a20-3595-4912-89ef-400020c55213
Älvsby IF,4d5e2a20-3595-4912-89ef-400020c55213
Öjeby IF,4d5e2a20-3595-4912-89ef-400020c55213
Örebro SK Handboll,4d5e2a20-3595-4912-89ef-400020c55213
IFK Örebro,4d5e2a20-3595-4912-89ef-400020c55213
